
"AGUASCALIENTES","AGUASCALIENTES","01030"
"AGUASCALIENTES","AGUASCALIENTES","01001"
"AGUASCALIENTES II","AGUASCALIENTES","01097"
"ARELLANO","AGUASCALIENTES","01062"
"CALVILLITO","AGUASCALIENTES","01096"
"CAÑADA HONDA","AGUASCALIENTES","01004"
"CIENEGUILLA","AGUASCALIENTES","01074"
"E.T.A. 127 AGUASCALIENTES","AGUASCALIENTES","01043"
"EL OCOTE","AGUASCALIENTES","01077"
"GANADERIA PEÑUELAS","AGUASCALIENTES","01016"
"LOS NEGRITOS","AGUASCALIENTES","01076"
"MONTORO","AGUASCALIENTES","01075"
"PEÑUELAS","AGUASCALIENTES","01079"
"PEÑUELAS","AGUASCALIENTES","01063"
"PRESA EL NIAGARA","AGUASCALIENTES","01005"
"SAN BARTOLO","AGUASCALIENTES","01022"
"SAN ISIDRO","AGUASCALIENTES","01024"
"SANTA ROSA","AGUASCALIENTES","01036"
"ASIENTOS","ASIENTOS","01029"
"EL TULE","ASIENTOS","01045"
"EL TULE","ASIENTOS","01006"
"LAS FRAGUAS","ASIENTOS","01032"
"RANCHO SECO","ASIENTOS","01081"
"SAN GIL","ASIENTOS","01084"
"TEPETATILLO","ASIENTOS","01085"
"VILLA JUAREZ","ASIENTOS","01028"
"AGUA ZARCA","CALVILLO","01047"
"CALVILLO","CALVILLO","01023"
"CALVILLO","CALVILLO","01003"
"EL OCOTE","CALVILLO","01078"
"LA LABOR","CALVILLO","01046"
"LA LABOR","CALVILLO","01009"
"LOS ALISOS","CALVILLO","01091"
"MALPASO","CALVILLO","01011"
"PRESA LA CODORNIZ","CALVILLO","01020"
"PRESA MEDIA LUNA","CALVILLO","01012"
"COSIO","COSIO","01088"
"EL NOVILLO","EL LLANO","01031"
"JESUS TERAN","EL LLANO","01099"
"LA TINAJA","EL LLANO","01073"
"LAS PRESAS","EL LLANO","01101"
"LOS CONOS","EL LLANO","01033"
"PALO ALTO","EL LLANO","01015"
"SAN FRANCISCO DE LOS VIVEROS","EL LLANO","01035"
"SANDOVALES","EL LLANO","01034"
"ABELARDO L. RODRIGUEZ","JESUS MARIA","01104"
"JESUS MARIA","JESUS MARIA","01090"
"JESUS MARIA","JESUS MARIA","01007"
"LA POSTA U.A.A.","JESUS MARIA","01098"
"LA PRIMAVERA","JESUS MARIA","01106"
"LOS CUARTOS","JESUS MARIA","01105"
"MILPILLAS DE ARRIBA","JESUS MARIA","01095"
"PRESA CANUTILLO","JESUS MARIA","01080"
"VENADERO","JESUS MARIA","01027"
"VENADERO","JESUS MARIA","01057"
"PABELLON CAMPO EXPERIMENTAL","PABELLON DE ARTEAGA","01014"
"PABELLON DE ARTEAGA","PABELLON DE ARTEAGA","01102"
"PABELLON DE ARTEAGA","PABELLON DE ARTEAGA","01041"
"PRESA JOCOQUE","PABELLON DE ARTEAGA","01019"
"RINCON DE ROMOS","RINCON DE ROMOS","01082"
"SAN FRANCISCO DE LOS ROMO","SAN FRANCISCO DE LOS ROMO","01083"
"SAN FRANCISCO DE LOS ROMO","SAN FRANCISCO DE LOS ROMO","01025"
"ALAMITOS CAMPAMENTO","SAN JOSE DE GRACIA","01103"
"LA TINAJA","SAN JOSE DE GRACIA","01010"
"PRESA 50 ANIVERSARIO","SAN JOSE DE GRACIA","01089"
"PRESA PLUTARCO ELIAS CALLES","SAN JOSE DE GRACIA","01018"
"PRESA POTRERILLOS","SAN JOSE DE GRACIA","01017"
"RANCHO VIEJO","SAN JOSE DE GRACIA","01021"
"ARROYO HONDO ","TEPEZALA","01108"
"EL CHAYOTE","TEPEZALA","01094"
"MESILLAS","TEPEZALA","01013"
"PUERTO DE LA CONCEPCION","TEPEZALA","01008"
"TEPEZALA","TEPEZALA","01026"
"AGUASCALIENTES","AGUASCALIENTES","01030"
"AGUASCALIENTES","AGUASCALIENTES","01001"
"AGUASCALIENTES II","AGUASCALIENTES","01097"
"ARELLANO","AGUASCALIENTES","01062"
"CALVILLITO","AGUASCALIENTES","01096"
"CAÑADA HONDA","AGUASCALIENTES","01004"
"CIENEGUILLA","AGUASCALIENTES","01074"
"E.T.A. 127 AGUASCALIENTES","AGUASCALIENTES","01043"
"EL OCOTE","AGUASCALIENTES","01077"
"GANADERIA PEÑUELAS","AGUASCALIENTES","01016"
"LOS NEGRITOS","AGUASCALIENTES","01076"
"MONTORO","AGUASCALIENTES","01075"
"PEÑUELAS","AGUASCALIENTES","01079"
"PEÑUELAS","AGUASCALIENTES","01063"
"PRESA EL NIAGARA","AGUASCALIENTES","01005"
"SAN BARTOLO","AGUASCALIENTES","01022"
"SAN ISIDRO","AGUASCALIENTES","01024"
"SANTA ROSA","AGUASCALIENTES","01036"
"ASIENTOS","ASIENTOS","01029"
"EL TULE","ASIENTOS","01045"
"EL TULE","ASIENTOS","01006"
"LAS FRAGUAS","ASIENTOS","01032"
"RANCHO SECO","ASIENTOS","01081"
"SAN GIL","ASIENTOS","01084"
"TEPETATILLO","ASIENTOS","01085"
"VILLA JUAREZ","ASIENTOS","01028"
"AGUA ZARCA","CALVILLO","01047"
"CALVILLO","CALVILLO","01023"
"CALVILLO","CALVILLO","01003"
"EL OCOTE","CALVILLO","01078"
"LA LABOR","CALVILLO","01046"
"LA LABOR","CALVILLO","01009"
"LOS ALISOS","CALVILLO","01091"
"MALPASO","CALVILLO","01011"
"PRESA LA CODORNIZ","CALVILLO","01020"
"PRESA MEDIA LUNA","CALVILLO","01012"
"COSIO","COSIO","01088"
"EL NOVILLO","EL LLANO","01031"
"JESUS TERAN","EL LLANO","01099"
"LA TINAJA","EL LLANO","01073"
"LAS PRESAS","EL LLANO","01101"
"LOS CONOS","EL LLANO","01033"
"PALO ALTO","EL LLANO","01015"
"SAN FRANCISCO DE LOS VIVEROS","EL LLANO","01035"
"SANDOVALES","EL LLANO","01034"
"ABELARDO L. RODRIGUEZ","JESUS MARIA","01104"
"JESUS MARIA","JESUS MARIA","01090"
"JESUS MARIA","JESUS MARIA","01007"
"LA POSTA U.A.A.","JESUS MARIA","01098"
"LA PRIMAVERA","JESUS MARIA","01106"
"LOS CUARTOS","JESUS MARIA","01105"
"MILPILLAS DE ARRIBA","JESUS MARIA","01095"
"PRESA CANUTILLO","JESUS MARIA","01080"
"VENADERO","JESUS MARIA","01027"
"VENADERO","JESUS MARIA","01057"
"PABELLON CAMPO EXPERIMENTAL","PABELLON DE ARTEAGA","01014"
"PABELLON DE ARTEAGA","PABELLON DE ARTEAGA","01102"
"PABELLON DE ARTEAGA","PABELLON DE ARTEAGA","01041"
"PRESA JOCOQUE","PABELLON DE ARTEAGA","01019"
"RINCON DE ROMOS","RINCON DE ROMOS","01082"
"SAN FRANCISCO DE LOS ROMO","SAN FRANCISCO DE LOS ROMO","01083"
"SAN FRANCISCO DE LOS ROMO","SAN FRANCISCO DE LOS ROMO","01025"
"ALAMITOS CAMPAMENTO","SAN JOSE DE GRACIA","01103"
"LA TINAJA","SAN JOSE DE GRACIA","01010"
"PRESA 50 ANIVERSARIO","SAN JOSE DE GRACIA","01089"
"PRESA PLUTARCO ELIAS CALLES","SAN JOSE DE GRACIA","01018"
